Sentence									
We had to wait for a table	We had to wait for a table	we| had to wait| for a table							
There were empty tables	There were empty tables	there| were| empty tables							
Went there with my wife	Went there with my wife	[subject missing]| went| there| with my wife							
There were many empty seats with no reservation sign	There were many empty seats with no reservation sign	there| were| many empty seats with no reservation sign							
I went there with my wife	I went there with my wife	I| went| there| with my wife							
You could see many were empty	You could see many were empty	you| could see| many were empty							
The tables had no reservation sign	The tables had no reservation sign	the tables| had| no reservation sign							
What may be interesting to most is the worst service/attitude	What may be interesting to most is the worst service/attitude	what may be interesting to most| is| the worst service	what may be interesting to most, is, the worst attitude						
The service/attitude comes from the owners of this establishment	The service/attitude comes from the owners of this establishment	the service| comes| from the owners of this establishment	the attitude, comes, from the owners of this establishment						
The owners are rude	The owners are rude	the owners| are| rude							
The worst service comes from the owners	The worst service comes from the owners	the worst service| comes| from the owners							
We wasted 3 hours	We wasted 3 hours	we| wasted| 3 hours							
We were trapped in a table	We were trapped in a table	we| were trapped| in a table							
We were waiting for food and drinks and hooka	We were waiting for food and drinks and hooka	we| were waiting| for food and drinks and hooka							
We never received some of them	We never received some of them	we| never received| some of them							
We were trapped at a table	We were trapped at a table	we| were trapped| at a table							
We waited and waited for food, drinks, and hooka	We waited and waited for food, drinks, and hooka	we| waited and waited| for food drinks and hooka							
We never received some of the food, drinks, and hooka	We never received some of the food, drinks, and hooka	we| never received| some of the food drinks and hooka							
We did not receive some of the food	We did not receive some of the food	we| did not receive| some of the food							
We waited for food	We waited for food	we| waited| for food							
We waited for drinks	We waited for drinks	we| waited| for drinks							
We waited for the Hookah	We waited for the Hookah	we| waited| for the Hookah							
We wasted three hours there	We wasted three hours there	we| wasted| three hours| there							
We waited a lot	We waited a lot	we| waited| a lot							
We waited a long time	We waited a long time	we| waited| a long time							
When asked how a certain dish was prepared	When asked how a certain dish was prepared	[subject missing]| asked| how a certain dish was prepared| when	a certain dish, was, prepared, how						
He replied	He replied	he| replied							
Every place makes things differently	Every place makes things differently	every place| makes| things| differently							
How certain dish was prepared	How certain dish was prepared	certain dish| was| prepared| how							
Every restaurant makes the food different	Every restaurant makes the food different	every restaurant| makes| the food| different							
The food was not from McDonald's	The food was not from McDonald's	the food| was not| from McDonald's							
We asked about how a certain dish was prepared in comparison to a similar at other thai restaurants	We asked about how a certain dish was prepared in comparison to a similar at other thai restaurants	we| asked| about how a certain dish was prepared in comparison to a similar at other thai restaurants	a certain dish, was prepared, in comparison to a similar at other thai restaurants, how						
He replied this is not Mcdonald's	He replied this is not Mcdonald's	he| replied| this is not Mcdonald's	this, is not, Mcdonald's						
He gave family apps when they came in	He gave family apps when they came in	he| gave| family apps| when they came in	they, came in						
The apps were to test their palets	The apps were to test their palets	the apps| were to test| their palets							
After the apps , he ordered for them	After the apps , he ordered for them	he| ordered| for them| after the apps							
The family came in	The family came in	the family| came in							
He gave them apps to test their palets	He gave them apps to test their palets	he| gave| them| apps| to test their palets	[the apps], test, their palets						
He ordered for them	He ordered for them	he| ordered| for them							
His family came in	His family came in	his family| came in							
Then he ordered for them	Then he ordered for them	he| ordered| for them| then							
Service was devine	Service was devine	service| was| devine							
Oysters were as sensual as they come	Oysters were as sensual as they come	oysters| were| as sensual as they come							
The price can't be beat	The price can't be beat	the price| can't be beat							
The oysters where a sensual as they come	The oysters where a sensual as they come	the oysters| where| a sensual as they come							
Service was divine	Service was divine	service| was| devine							
The price can't be beat!!!	The price can't be beat!!!	the price| can't be beat							
The place was packed when i got there									
They seated me quickly									
The place was packed									
They sat me quickly									
When I got there the place was packed									
They made sure to seat me quickly									
Service was good									
The food is wonderful									
Food is wonderful									
The service is good									
My dessert had a candle in it									
I didn't ask for a candle									
The waiter saw me with my birthday card									
The waiter saw me with my gift									
The waiter said he knew it was a special occasion									
When my dessert came there was a candle in it									
No one asked for a candle									
The waiter must have seen me opening my birthday card									
The waiter must have seen me opening my birthday gift									
The waiter said he knew it was a special occasion of some sort									
No one asked for it									
I opened my birthday card									
I opened my gift									
The waiter must have seen me									
The service was ok									
For $500 you expect more service	You wouldn't expect it for $500	you| wouldn't expect| it| for $500							
Service was ok									
You wouldn't expect it for $500									
The bill came									
He only discounted the food									
He didn't discount the drinks									
When the bill came, he only took the discount off the food									
When the bill came, he didn' took the drinks									
He took the discount									
Service was kind of slow									
Our waitress took forever to give us our check									
It wasn't that busy									
The service was slow									
The waitress took forever to give us our check	The waitress took forever to give us our check	the waitress| took forever| to give us our check	[the waitress], to give, us, our check						
When the bill came, nothing was comped									
I told the manager very politely that we were willing to pay for the wine									
I didn't think I should have to pay for food with a maggot in it									
Nothing was comped on the bill									
I told the manager very politely we were willing to pay for the wine									
There was maggot in my food									
I will pay for wine									
The service was prompt									
The service was courteous									
Service was prompt									
Service was courteous									
The main course arrived after 45 minutes	The main course arrived after 45 minutes	the main course| arrived| after 45 minutes							
When the main course arrived half of the order was missing	When the main course arrived half of the order was missing	half of the order| was missing| when the main course arrived	the main course, arrived						
The main course finally arrived	The main course finally arrived	the main course| finally arrived							
The main course took another 45 minutes									
Half of our order was missing									
It took 45 minutes									
Half our order was missing									
Service was friendly									
Service was great									
 Service was friendly									
 Service was great									
The waiter refused to bring me the the wine card									
We finally flagged someone									
It was not the same person who dropped off the food									
It was a different person who took our order									
We were finally able to flag someone down									
It was someone entirely different from the person who had dropped off the food									
It was not the person who had taken our order									
Service was quick									
We inquired about ports									
Waitress didn't know taste variations									
Waitress didn't know cost									
The waitress listed off several									
